Obec,Výmera celkovej plochy (ha),Výmera poľnohosp. plochy (ha),Podiel poľnohosp. pôdy z celkovej plochy (%)
Baďan,1509,537.49,35.6
Banská Belá,2108,798.16,37.8
Banská Štiavnica,4673,1927.19,41.2
Banský Studenec,1919,683.78,35.6
Beluj,2281,1021.43,44.8
Dekýš,1782,482.16,27.1
Ilija,1063,487.03,45.8
Kozelník,901,195.88,21.7
Močiar,2092,537.58,25.7
Počúvadlo,1550,580.54,37.5
Podhorie,2164,604.02,27.9
Prenčov,2450,1071.32,43.7
Svätý Anton,2261,756.65,33.5
Štiavnické Bane,1015,535.26,52.7
Vysoká,1456,259.86,17.8
